time_s,L Aud,R Aud,Striate,L DMN,Med DMN,Front DMN,R DMN,Occ post,Motor,R DLPFC,R Front pol,R Par,R Post Temp,Basal,L Par,L DLPFC,L Front pol,L IPS,R IPS,L LOC,Vis,R LOC,D ACC,V ACC,R A Ins,L STS,R STS,L TPJ,Broca,Sup Front S,R TPJ,R Pars Op,Cereb,Dors PCC,L Ins,Cing,R Ins,L Ant IPS,R Ant IPS
36.0,0.65314597,1.0596641,-0.39368865,-0.17196056,0.11913094,-0.6442126,-0.89799255,1.1520283,-0.010973669,0.8143306,1.8317485,0.30905214,-0.13558419,-0.018424883,-0.66193175,-0.41084957,-0.009932751,0.4180765,0.512213,0.98826677,1.3876883,1.4690259,-0.59928733,0.9222117,0.58731985,0.275606,0.63748777,-0.60007477,0.3180388,-0.47873667,0.4485571,-0.3228913,1.4344745,-0.14762671,0.46117315,0.9435633,0.56619716,-0.23821709,-0.44098353
38.0,-0.5908144,0.79804343,-1.023642,-1.0860964,-0.38658836,-0.47523484,-0.7883015,1.0826439,-0.8175041,0.45748165,1.9930345,0.7611013,-0.9879755,0.21585594,-0.52120197,-0.9111318,0.6474864,-0.011858206,-0.65512586,0.56190866,0.35906863,0.8175272,0.50697,1.3063077,0.939717,-0.37835553,-0.83222634,-0.52204174,0.54386634,0.33725286,-0.07714972,-0.5419613,1.7966504,-1.0581127,1.0348858,-0.36090866,0.92118007,-0.61476284,0.12294899
40.0,0.70271194,0.552207,0.51635915,-1.5632348,-0.6788111,-0.28321218,-0.40935206,1.7158309,0.53287375,1.2838503,1.7495073,0.8535906,0.20729916,-0.5654385,-1.3097901,-1.0940522,0.69150686,0.6728263,-0.2726529,1.2409319,0.95324403,1.443465,0.96305174,0.9259408,1.3305967,-0.123250015,-0.98395354,-1.1752628,-0.8496993,0.039742358,0.9986886,1.3347207,0.00948772,0.5419257,0.7381774,-0.67734635,1.4058098,0.6420672,1.0341828
42.0,-0.66485417,-1.0016975,0.070630714,-0.80639285,-0.82358545,-0.8950632,-0.48132408,1.4755039,0.46673885,1.0983083,1.5371366,0.7491551,0.40729576,-1.0092374,-1.2556802,-0.8348056,1.4908941,-0.04353158,-1.3763045,0.8522474,0.741124,0.707692,1.5654062,0.33147168,1.3440962,-0.757177,-1.1098423,-1.230699,-2.1534293,0.24401882,-0.4212788,0.029972529,0.5201523,0.8018904,-0.32465148,-0.5327652,0.07624929,-1.4013729,-0.122192845
44.0,-0.39271125,-0.7432322,0.105812736,-0.4064263,0.34162188,0.89429927,0.85138947,1.9510993,0.6824286,1.7819031,1.5793055,0.98985285,1.6462172,0.14933302,-0.113712795,0.5013528,0.5894798,1.0586909,0.10848435,1.0220597,0.93726593,1.0275477,1.42852,0.748133,1.5575681,0.33580014,0.34155488,0.77956086,0.26727772,-0.24119814,0.024054995,1.596516,-0.8837798,1.9802859,1.1044465,-0.750479,0.7067375,-0.96414894,0.83652174
46.0,-1.1680056,-0.53327054,-0.12550801,0.17330298,-0.5723469,0.108894944,0.40919018,1.1254572,0.06810391,-0.26620296,-1.2780415,-0.51054984,0.6605706,-0.32024425,-0.4253557,-0.34169048,-1.2211581,0.6868053,0.2190418,0.086329274,0.3199079,0.16520326,-0.11457093,-0.73254764,-0.12869686,-0.27352867,-0.08872207,-0.0012180604,0.018823192,-0.7390417,-0.88938475,-0.5785295,-0.54419416,0.84519124,-1.5780197,0.10376034,-1.2528101,-1.0972245,0.5759897
48.0,-0.2392049,0.30819777,0.71156603,0.22885428,-0.9090415,-0.5276813,0.18847118,0.35015902,0.2315393,-0.21816324,-0.6791295,-0.76783305,-0.5781654,0.9917757,-0.38497797,0.6616071,-1.1261375,0.04166018,0.76425344,-0.32824677,0.12615022,0.070524424,-0.2604077,-0.20062508,-1.0235842,0.09553818,0.07725897,0.18799184,1.1993419,-0.53828216,-0.23651345,0.56877244,-0.51860267,-0.6868075,0.08791249,0.13534151,0.2217122,-0.95027053,0.06572799
50.0,0.40814006,0.9802858,-0.0071524316,0.2959373,-0.5921702,-0.24383815,-0.2231447,-0.091147214,0.1274755,0.53382945,-0.14242998,-0.047771383,-0.93160766,0.49463075,0.3220159,1.1488563,-0.5702107,0.01405339,0.54262537,-0.13108894,1.3600093,0.16764067,0.36823255,-0.0054493947,-0.47739875,0.63715553,-0.09012302,0.6702705,0.8737322,-0.7352491,1.0287971,0.8572719,0.97933143,0.07930806,-0.33076933,0.9834436,0.4358345,0.5858704,0.69814557
52.0,-0.09193062,0.9940532,0.89274603,-0.4191761,-1.4477298,-0.45112485,-0.29616863,-0.762734,0.222333,0.36957896,-0.47959858,0.25231463,-1.0871384,0.23507114,-0.27590975,0.1943357,-0.77242154,-0.5899091,0.04306962,-0.04686193,0.953017,0.029431874,-0.13311777,-0.027135277,-0.41862327,0.23920599,0.30044037,-0.024140706,0.70982504,-0.6199883,0.31863058,0.5887791,1.2357682,-0.48991707,-0.77152205,0.44001514,0.014249375,-0.6546359,-0.14875993
54.0,-0.33676615,0.010648315,0.4195336,-0.87686807,-0.3884524,-0.24780616,-0.3584828,-0.3190977,0.1749377,0.39233688,-0.2276303,1.324243,0.83783185,0.76456016,0.31652465,-0.14329448,-0.1701901,-0.60049814,-0.27078715,-0.706529,-1.3187765,-0.51763153,-0.5256486,-0.07860913,-0.034741748,-1.1334934,-0.3044352,-0.42651838,-0.20853381,-1.4153659,-0.48613572,-0.08668069,-0.608251,0.08899868,-0.18346441,-0.30566934,-0.22404808,-0.6614326,-0.6686626
56.0,0.1755312,1.0527104,-0.2737815,-0.9831065,-0.009436393,-0.9313754,-0.18538535,-0.39259192,-0.08758075,1.431521,1.0875747,2.1141512,1.0652086,-0.16080949,0.6022881,0.058528144,-0.028320936,-0.90060204,-0.27044564,-1.3936194,-1.5119541,-1.1422403,-0.23300631,0.23445106,0.33540615,0.6005342,0.060195126,-0.16307321,-0.5218258,-0.6258907,-0.09657487,1.7946455,-0.09760188,1.0339087,1.0735877,-0.019263975,0.76269,0.5766724,0.19158003
58.0,0.12037353,1.0160986,0.7933546,-1.7041812,-0.9311435,-1.0646106,-1.2483652,-0.9893615,1.308678,0.9706683,0.2711871,2.2017152,1.3927741,0.38289803,-0.22712053,-1.3142291,0.22720985,-1.0382826,-1.0242164,-1.7105808,-1.2693298,-1.4675192,0.37894964,1.5141145,1.1507505,1.7016758,2.1723814,-0.5817174,-0.05599688,0.48717105,0.23673299,1.5620755,0.30638838,-0.48796883,0.46260813,0.26743218,1.5912855,0.27402672,0.7905751
60.0,-0.19070159,0.20396903,-0.055536587,-1.643178,-1.0872909,-1.335099,-1.227382,-0.30091152,1.9674704,1.5916643,1.255131,0.98463094,1.1881741,-0.43140852,-1.1790125,-1.153617,-0.004206516,0.4717758,-0.7155444,0.115486026,0.55370504,0.33085972,-0.34859484,0.7746206,1.3184643,0.80821884,2.029951,-0.7880401,1.0131278,1.22908,0.42510983,2.252282,2.0085704,-0.044246927,0.61018354,0.64814466,1.7716775,0.7514696,1.634168
62.0,-0.8487109,-0.22904103,-0.5024421,-0.63903207,-0.74133486,0.13506408,-0.78768504,-0.049139544,0.31583133,1.3302805,1.2771322,0.59494895,0.04126868,-0.24446839,-0.35230973,-0.73397905,-0.3356861,0.19804893,-0.10990534,0.040527064,0.7736111,0.31896895,-0.012051842,0.7311454,1.5973926,-0.77876353,0.23610274,-1.1989279,-0.09108413,0.44168833,-0.2672471,1.1482499,0.15733324,-0.07582397,0.67658234,0.17030658,0.78775245,-0.15005651,1.0999358
64.0,-0.574394,-0.7575937,-0.50228673,-0.11009665,0.25505054,2.2324421,-0.21753772,-0.5271749,0.6261846,0.32531968,1.6193928,-0.3166814,-0.81148565,-0.3274995,0.32811955,0.5013923,0.6861854,-0.13337147,0.8597664,-0.03359543,0.5938237,0.25874338,-0.34359008,0.21168065,1.3684492,0.52455205,0.17320326,0.17800522,1.3102168,1.2661631,-0.3594796,0.21649437,0.6708747,-0.05194223,0.94102675,0.13660066,0.79514223,1.0442358,0.2096784
66.0,-0.5223764,-0.055656943,-1.310527,0.025898907,0.10658258,-0.17478766,-0.049395785,-0.18974736,0.12710327,-2.1651871,-0.40221402,-2.4082007,-0.69396675,-1.3778573,-0.33545205,-0.14014845,-0.22322907,0.25680044,1.4240224,-0.36492687,-0.15634508,-0.060981244,-0.3961856,-0.50974816,0.109681495,0.42622918,0.08738678,-0.43778524,0.36130416,0.009912716,-0.8394139,-0.111103415,-0.9748836,-0.4777623,-0.118552126,0.120665416,-0.16079015,0.34243134,-0.4063283
68.0,1.636001,0.8952367,0.7038427,0.6863756,0.39405182,-0.68424773,1.3387986,-0.1697647,0.571818,-2.4195747,-1.2493887,-2.5221152,-0.50578195,0.4726446,-0.95871216,-0.55739206,-0.87866706,1.70772,1.8175308,0.86205375,0.70142835,0.5888265,0.23455091,-0.96231276,-1.1932575,0.6178274,0.39774778,1.0109245,1.268229,0.83221644,0.6493457,0.60052377,0.20255741,0.6983634,-1.1724397,0.19212241,-0.02655432,0.13057427,0.021977589
70.0,-0.136795,-0.26490209,0.05576412,0.64506155,-0.67696345,-1.581765,0.5162389,-0.65301657,-0.70706075,-3.169596,-3.2843435,-2.6976538,-1.8310772,-0.80315566,-1.1092085,-0.83762264,-1.8508552,0.7509428,0.6522874,-0.14193113,0.3105216,-0.12294056,-1.5617085,-1.3324692,-2.6277137,-1.0555962,-1.008429,0.22726661,0.03691899,-2.1745553,0.502067,-0.71104085,-0.22573785,-0.7230446,-1.4928061,-0.3967793,-1.2407293,-0.37823454,-1.2141529
72.0,0.7174961,0.71514684,1.5960686,0.6434097,-0.2869619,-0.016359994,1.0408704,0.20825608,1.163694,-1.2696192,-1.7798811,-0.62566143,0.36540946,1.5867211,-1.0102346,0.073190294,-1.344319,1.8454455,0.9531396,0.93622595,1.5090172,0.421074,-1.2989279,-0.37972832,-1.808896,0.8170738,1.0700401,1.4115334,0.30139953,-1.4549698,1.5251349,1.0290012,-0.4548988,0.3535814,0.29077598,0.6279113,0.14633547,0.0059984103,0.19772655
74.0,-0.26238695,-0.82009,0.44841647,0.21738572,-0.41838065,0.14194675,1.1914822,-0.06332229,0.10740182,-1.004271,-1.2618408,-0.56995136,0.27316794,0.8262458,-0.24851409,0.11068648,-1.3799074,0.57240486,0.020408547,0.37124878,0.60618234,-0.20467208,-0.30453357,-0.22125168,-1.3894717,0.6184575,0.59501565,1.5311283,-0.37080973,0.0029132627,0.7533936,0.6125853,1.1678772,0.25627977,-0.19204363,0.9904456,-0.27815264,1.6132452,0.6823807
76.0,-1.2710681,-0.85880464,-0.021608409,0.37650183,0.54479295,0.41903886,0.3955157,-0.39680994,-0.003950047,0.13614911,-1.096008,0.89426947,1.4065807,-0.05149332,0.7720113,0.22997218,-0.2253952,-0.19956547,0.08253437,0.10099205,-0.5071855,-0.20611846,0.29208338,1.3905618,-0.06604859,0.5904017,0.45598906,0.73149097,-0.9494712,1.1941738,0.4587377,0.77510786,-2.5634413,-0.42486197,1.531343,0.5184395,0.6593331,1.8277932,2.0934374
78.0,-0.71099406,0.30277893,-1.0450646,0.058845624,0.6612327,1.084363,1.3549747,-0.6195192,0.112527065,0.49024102,-1.1688929,0.50218207,1.5302032,-1.13812,2.4668696,0.36997458,-0.071915604,-1.0730202,0.11249209,-0.14586084,-0.19318837,-0.12759274,0.9640825,0.050843667,-0.016926257,0.74660814,0.19993645,-0.12925898,0.7553094,0.75797,0.9752357,-1.116585,-0.3825359,0.36827707,-0.37031585,-0.31691107,-1.3179028,2.5761652,1.0304304
80.0,1.4630094,1.7788361,0.40622216,-0.5505268,0.55960906,0.19455394,0.80086887,-0.3212732,1.1973234,0.5454253,-0.55916923,-0.01803355,0.72335064,-0.32429242,0.7886149,0.37859184,0.6983634,0.77021486,0.8228093,1.2640542,0.6296785,0.6270612,0.42563918,-0.92056453,0.29491833,0.9015441,-0.17954494,-0.85397303,0.18719934,-0.008421915,-0.12294946,-0.87148505,-0.30128768,0.48836452,-0.49432632,0.29695442,-0.7381116,0.42311034,0.073700905
82.0,1.393599,0.40564877,-2.187836,-1.5271679,-0.16486916,-1.5795727,-1.0667912,0.121957816,-0.71673036,-0.5892062,-0.8016597,-0.42393702,-1.5327462,-1.4706459,-0.82900393,-0.37273958,-0.08267212,0.23920211,-0.3819568,-0.019982932,0.093129225,-0.01023657,-0.33203667,-0.6922902,-0.6384895,0.3206302,-0.8282089,-1.5204177,0.33796012,-0.22618188,-0.10587515,-1.1741179,-0.3436734,-0.4136064,-0.2529546,0.249382,-0.735107,0.92974097,0.29596075
84.0,1.6949315,1.6012695,-0.16271663,-1.1818455,0.45332634,-0.32340842,-1.0130879,0.6299227,0.79426044,0.36503747,-0.49424794,0.34626365,-0.5164233,1.4540389,0.107131794,0.4650259,0.914425,0.92801523,0.35622498,0.28901443,0.34446406,0.8916632,0.6959706,0.3619753,0.21377264,1.0668033,0.41067067,0.80085284,1.9963729,0.41471848,0.42173135,0.773137,-0.082620874,0.47779173,0.7902646,0.7582814,-0.21181554,0.9629559,1.316227
86.0,1.723067,1.5355071,-0.3820294,-0.77126616,0.22227757,-0.36702883,-0.8806326,-0.26263466,0.4917351,-0.12839094,-0.58345467,0.46806458,-0.14281663,0.43276814,1.2789177,0.92818666,0.43773496,-0.9226476,-0.7578302,-0.7976529,-1.00753,-0.37279892,0.5593774,0.6898145,0.34212992,1.282198,1.6560035,0.21052633,0.8466472,1.1393872,0.8090684,0.8853678,0.84645694,0.0017613234,1.0570967,1.2509104,0.8548972,1.4638447,1.1663421
88.0,2.7802134,1.680037,0.23881146,0.43941718,0.83102983,0.26526383,0.486306,0.99532086,0.71595925,0.6667416,0.14708629,-0.10261481,0.60993093,2.7881784,0.054373644,0.06939613,0.773449,0.6119795,-0.15973255,1.863918,0.95708513,1.0671688,1.3625566,1.537592,1.7785404,2.096776,2.4608026,1.0698651,0.044589926,1.0999637,1.7117658,0.22639309,1.0730985,1.5858455,1.2623129,2.179724,1.7112638,-0.20519292,1.6107358
90.0,0.06705051,-0.7994195,-1.8805273,0.16115132,0.9150993,0.4750175,0.10475609,0.23106167,-0.39135408,-0.45752344,-0.42553025,-0.13775851,-0.44323757,1.316369,0.3652699,-0.33046898,0.8319769,-1.0433304,-0.41306055,0.25189856,-0.8318686,-0.14526558,1.0970253,0.7845758,1.541316,0.08294539,0.9227508,-0.9766761,-0.3137039,0.94625133,0.7701815,-0.7364502,-0.7993581,0.26848242,-0.5432989,-0.034063477,0.9397571,-0.80694276,-0.56939256
92.0,-1.4685329,-2.3293982,-2.4229972,0.43192983,0.7998372,1.4891081,0.4175077,0.4672513,0.018073468,-1.0699334,-1.4678421,-0.8280379,-1.0361968,1.22727,-0.08169465,-0.58893347,-0.7053096,-0.8182219,-1.0305604,0.16331428,-0.27460554,0.7335141,-0.62028176,-0.8096746,-0.10777249,0.6215168,-0.08978608,0.78910923,1.2269745,0.13598959,2.0428474,-0.18366393,0.16886021,-0.110942714,-0.12446653,-1.2552971,-0.7052572,0.76617414,-1.4037396
94.0,-0.28015703,-1.0843793,-1.8758211,0.9270887,-0.22196294,1.1643414,0.8821891,0.003650365,-0.25330997,-0.26935512,-1.2179614,-0.40888846,-0.8041307,0.10980368,0.15529345,-0.6105873,-1.0025531,-0.7009087,-1.0548165,-0.31245953,0.08722072,0.66596496,0.18416144,-0.46415377,-0.6203018,0.61869144,0.22207877,0.79896474,1.7485923,0.29327133,1.5184805,0.431106,1.7904388,0.0393455,0.04948826,-0.3174622,-0.04646,0.9774233,-0.22242393
96.0,-1.423585,-1.3425483,-1.5178204,0.2711692,-0.19931076,0.11659868,0.082301706,-0.5277594,0.15754701,0.52042806,-0.8962252,-0.33849728,-0.8081259,-0.24264051,0.1658003,0.33872107,-0.12299742,-0.7811672,-0.8049433,-0.6438809,0.1885307,-0.09200334,0.58536977,-0.17669648,0.029916443,0.21645841,-0.4312739,1.0173876,-0.14626583,0.0847555,0.67314285,-0.6223225,0.6230575,-3.3173517e-05,-0.15113589,-0.5068716,-0.41772652,0.37364718,-1.0902236
98.0,-0.6548945,-0.6598237,-0.4424577,0.7097481,0.5772526,0.34184378,0.74696517,-0.029805444,1.5295937,0.98317534,0.005655466,0.1213078,1.0372047,-0.11644755,1.180028,1.8039386,0.47510007,0.22635579,0.90010506,0.03893446,0.45679063,0.2890195,1.404353,0.29047865,0.8956232,0.2985416,0.20408265,1.5650053,0.63698316,0.53135204,0.5560745,0.18934067,1.3427238,0.55838144,0.50302345,-0.044800222,0.27096498,0.54049075,0.0016770889
100.0,-0.78000027,-0.68186396,0.29464877,0.3781977,0.7066614,-0.06895373,1.0720104,-0.45266402,1.2673522,0.39706177,-0.4278661,-0.07831625,1.492979,0.68385583,1.4025195,1.5941194,0.7214429,0.7328714,1.0523572,0.613597,0.9518394,0.7265873,0.2951711,0.26331973,1.1116227,0.30268562,0.58816034,2.4285572,0.22517765,0.50681543,0.99572176,-0.7789786,0.2660336,0.9998159,-0.5713427,0.06559769,-0.29342976,-0.34509718,0.48909444
102.0,0.30219603,0.24620028,1.2920885,0.7120293,1.1554312,0.5966616,0.7142383,-0.7026135,0.71069306,1.7433106,1.3002926,0.46816584,2.4739752,0.60515803,1.0115703,2.0262525,2.2493942,1.217001,1.6313006,0.9084623,0.469939,1.0332911,0.9568466,0.16014437,0.9414048,-0.9855036,-0.3574151,2.109311,-0.6847289,0.9604067,0.5548212,-0.6215773,0.5186751,1.8739302,-0.71312183,-0.15397424,-0.51884913,-1.4197944,0.16242301
104.0,-0.7739009,-1.0738144,0.97225994,-0.29726636,-0.10679762,-0.69619226,0.4590981,0.025377842,-1.4338477,-0.723764,0.741367,-0.16228311,1.1464568,0.5328294,-0.9431092,-0.16987374,0.9399992,0.33489847,1.0954885,0.63637257,-1.154129,0.64473355,-1.0905132,-0.8396385,-0.40638298,-1.1978214,-0.73109734,-0.34202653,-1.7436862,-0.4850447,-0.7048699,0.13385424,-0.9817202,0.98347515,-0.14392127,0.061705504,0.023739498,-1.8089234,-1.5636947
